POS,Name,STU,MOV,CON,PBABIP,HRR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,STM,HLD,G,GS,IP,R,HR/9,K%,BB%,ERA+,FIP-,rWAR
SP,Kodai Senga,55,55,45,60,55,70,-,-,60,-,-,55,75,-,-,-,-,4,NEU,96-98,55,55,20,20,117.2,41,0.8,26.7,11.3,136,91,3.3
SP,Paul Skenes,60,50,55,55,50,80,55,55,80,-,-,-,-,-,-,-,-,4,NEU,98-100,60,40,33,33,185.0,81,0.7,29.0,7.2,110,69,3.3
SP,Ronel Blanco,50,45,45,60,40,60,50,45,60,-,-,-,-,-,-,-,-,4,EX FB,94-96,55,55,31,31,171.1,73,1.2,23.9,9.8,103,105,3.3
RP,Jose Urena,40,50,45,55,45,45,35,-,45,45,-,-,-,-,-,-,-,4,NEU,96-98,50,75,27,15,109.2,35,0.7,17.6,7.9,146,93,3.2
CL,Ryan Helsley,65,55,50,65,55,80,-,50,80,-,-,-,-,-,-,-,-,3,EX FB,98-100,25,70,60,0,63.0,14,0.4,28.9,13.0,277,74,3.2
SP,Dylan Cease,60,50,45,55,50,80,-,50,80,-,50,-,-,-,-,-,-,4,FB,97-99,55,40,33,33,195.2,89,1.3,28.1,7.6,100,93,3.1
SP,Ranger Suarez,45,55,50,50,55,45,50,45,-,45,-,45,-,-,-,-,-,5,EX GB,91-93,55,45,31,31,153.2,64,0.5,20.5,8.1,115,81,3.1
SP,MacKenzie Gore,50,50,45,45,50,75,50,55,60,-,-,-,-,-,-,-,-,4,FB,96-98,55,55,25,25,148.1,61,1.1,24.0,8.5,107,96,3.1
SP,Victor Lucero,35,65,50,55,65,-,40,35,35,40,30,-,-,-,-,-,-,5,EX GB,91-93,60,65,31,31,194.2,89,0.7,14.4,7.7,103,101,3.0
SP,Quinn Priester,45,50,50,50,50,45,40,40,45,45,-,40,-,-,-,-,-,6,EX GB,93-95,55,45,33,33,185.0,84,1.2,19.7,7.5,109,108,3.0
SP,Sonny Gray,50,50,55,55,50,50,45,50,60,55,-,45,-,-,-,-,-,6,FB,93-95,55,55,31,31,156.1,67,1.0,25.5,8.1,121,90,2.9
SP,Merrill Kelly,40,50,55,55,50,45,40,35,40,40,-,40,-,-,-,-,-,6,NEU,92-94,55,60,25,25,141.0,58,1.0,19.8,5.7,117,92,2.9
CL,Devin Williams,80,60,40,65,60,65,80,-,-,-,-,45,-,-,-,-,-,3,NEU,94-96,25,40,63,0,63.1,16,0.4,31.6,10.9,214,67,2.9
SP,Jose Quintana,40,50,45,50,50,40,40,45,-,45,-,-,-,-,-,-,-,4,NEU,91-93,50,60,32,32,175.2,79,0.9,20.5,9.2,115,98,2.9
SP,Zack Littell,45,45,65,55,45,-,-,-,50,45,40,-,-,-,-,-,-,3,FB,95-97,60,50,31,31,198.2,93,1.6,22.6,5.4,95,107,2.9
RP,Griffin Jax,60,50,55,55,50,75,50,50,80,50,-,-,-,-,-,-,-,5,GB,97-99,30,45,71,0,72.0,15,0.8,34.8,4.3,264,54,2.9
SP,Jack Flaherty,55,50,50,55,50,65,45,55,65,-,-,50,-,-,-,-,-,5,FB,94-96,55,50,32,32,170.2,77,1.3,28.7,7.1,100,92,2.8
SP,Robbie Ray,55,45,50,50,45,70,45,65,60,-,-,-,-,-,-,-,-,4,EX FB,94-96,50,60,33,33,178.2,82,1.1,26.3,10.3,101,99,2.8
SP,Ben Brown,50,55,45,55,50,80,50,65,55,-,-,-,-,-,-,-,-,4,EX FB,97-99,45,50,33,33,190.2,90,1.4,26.7,8.9,98,103,2.7
SP,Nick Martinez,45,55,65,50,55,45,45,35,40,45,-,40,-,-,-,-,-,6,EX FB,93-95,45,55,33,33,172.1,79,0.7,19.8,5.4,107,85,2.7
SP,George Kirby,50,50,80,50,50,60,-,40,50,50,45,-,-,-,-,-,-,5,FB,96-98,60,50,31,31,182.0,85,1.1,25.5,3.9,101,79,2.7
SP,Sandy Alcantara,45,55,65,55,55,55,45,-,50,45,-,-,-,-,-,-,-,4,GB,98-100,60,50,33,33,196.1,94,1.0,21.2,5.2,98,89,2.6
RP,Brandon Pfaadt,50,50,70,50,50,55,50,45,55,50,-,-,-,-,-,-,-,5,FB,94-96,55,45,33,28,172.1,79,1.3,23.2,8.2,101,103,2.6
RP,Angel Zerpa,45,50,50,50,50,50,35,40,45,45,-,-,-,-,-,-,-,5,GB,96-98,35,55,41,17,130.0,51,1.2,19.8,6.3,127,101,2.6
RP,Adrian Houser,40,50,45,55,50,45,35,35,40,40,-,-,-,-,-,-,-,5,NEU,94-96,50,60,41,4,97.2,29,0.4,18.1,8.4,179,83,2.5
SP,Jhony Brito,45,50,50,55,50,50,40,-,40,45,-,40,-,-,-,-,-,5,NEU,97-99,45,40,21,14,79.0,24,0.7,20.7,7.9,158,88,2.5
SP,Martin Perez,35,45,50,40,50,40,-,35,-,40,-,40,-,35,-,-,-,5,NEU,92-94,50,65,25,25,124.2,52,1.2,21.0,8.9,108,107,2.5
SP,Framber Valdez,45,55,50,55,55,-,50,55,45,55,-,-,-,-,-,-,-,4,EX GB,92-94,60,65,25,25,136.0,59,0.9,22.9,7.5,105,88,2.5
SP,Pablo Lopez,50,50,60,50,50,70,50,45,55,50,-,-,-,-,-,-,-,5,NEU,95-97,55,55,33,33,170.1,80,1.2,27.6,5.7,103,84,2.4
SP,Ryan Pepiot,50,50,45,55,50,70,50,45,-,-,-,55,-,-,-,-,-,4,EX FB,95-97,45,40,32,32,183.1,88,1.1,27.9,7.7,106,87,2.4
RP,Brock Stewart,70,55,45,50,55,80,-,-,70,-,-,70,-,-,-,-,-,3,EX FB,96-98,30,55,60,0,68.1,15,0.8,32.8,11.7,273,79,2.4
SP,Jeffrey Springs,50,50,55,50,50,45,60,-,45,-,-,45,-,-,-,-,-,4,FB,90-92,40,70,27,27,129.1,56,1.0,22.6,7.6,116,91,2.4
SP,Andrew Heaney,45,45,50,50,45,50,50,45,55,-,-,-,-,-,-,-,-,4,EX FB,92-94,50,55,54,9,114.2,41,1.1,25.0,8.1,140,89,2.3
RP,Gabe Speier,50,50,50,50,50,50,-,-,60,55,-,-,-,-,-,-,-,3,NEU,93-95,30,50,78,0,56.1,12,0.3,26.7,9.8,248,63,2.3
SP,Hayden Wesneski,45,45,45,55,45,50,40,-,55,45,-,45,-,-,-,-,-,5,FB,95-97,45,55,22,0,71.2,16,0.4,31.4,6.3,225,53,2.3
RP,Dylan Lee,60,50,55,50,50,50,50,-,75,-,-,-,-,-,-,-,-,3,FB,93-95,30,70,68,0,85.2,25,1.4,30.1,6.7,171,91,2.3
SP,Sean Manaea,50,50,50,55,45,55,55,-,50,50,-,50,-,-,-,-,-,5,NEU,93-95,60,60,19,19,116.2,49,1.1,27.1,7.7,122,88,2.3
SP,Yu Darvish,50,45,55,55,45,60,40,50,55,-,50,50,-,-,-,-,-,6,EX FB,94-96,55,30,27,27,140.0,63,0.9,22.5,6.9,106,90,2.3
RP,Stephen Kolek,45,50,55,55,50,45,25,-,45,45,-,40,-,-,-,-,-,5,NEU,96-98,45,45,31,23,127.0,54,1.2,17.8,8.4,105,114,2.3
SP,Gavin Williams,50,50,45,55,50,70,45,50,50,-,-,50,-,-,-,-,-,5,FB,96-98,40,50,33,33,171.1,82,1.2,24.1,10.0,95,103,2.3
SP,Bryce Miller,45,50,55,65,50,55,-,40,45,45,40,40,-,-,-,-,-,6,FB,96-98,60,45,32,32,187.2,92,1.3,23.5,7.7,95,101,2.3
CL,Tanner Scott,65,65,45,55,70,75,-,-,80,-,-,-,-,-,-,-,-,2,NEU,97-99,30,45,63,0,64.1,20,1.0,36.4,9.9,218,72,2.3
SP,Reid Detmers,50,50,50,50,45,60,50,55,60,50,-,-,-,-,-,-,-,5,EX FB,94-96,50,80,33,33,189.0,93,1.5,23.6,10.1,98,116,2.3
SP,Derek Holland,45,50,50,50,50,50,50,-,50,-,-,-,-,-,-,-,-,3,NEU,92-94,45,60,31,23,134.0,59,0.7,22.2,8.9,118,87,2.2
RP,Tim Mayza,35,55,50,50,55,-,-,-,40,40,-,-,-,-,-,-,-,2,GB,93-95,25,55,74,0,52.1,10,0.3,20.1,7.9,384,75,2.2
CL,Jason Foley,45,65,55,50,70,50,35,-,45,45,-,-,-,-,-,-,-,4,NEU,97-99,30,55,73,0,73.2,25,0.7,19.4,9.7,162,95,2.2
SP,Aaron Civale,45,45,55,55,45,50,40,45,45,-,-,50,-,-,-,-,-,5,EX FB,93-95,50,50,33,33,182.2,90,1.7,20.1,8.1,91,125,2.2
RP,Blake Treinen,50,55,50,60,55,55,-,-,55,55,-,55,-,-,-,-,-,4,NEU,94-96,30,55,58,0,73.0,21,0.6,34.8,4.8,161,49,2.2
SP,Hunter Brown,50,50,45,50,50,60,45,45,45,50,-,50,-,-,-,-,-,6,NEU,96-98,55,35,24,24,132.2,60,1.2,22.5,8.5,108,104,2.1
SP,Joe Ryan,50,50,65,55,45,55,55,-,55,-,-,45,-,-,-,-,-,4,EX FB,92-94,55,50,33,33,175.2,86,1.4,21.7,6.3,91,109,2.1
SP,Reynaldo Lopez,50,50,50,55,50,70,45,55,65,-,-,-,-,-,-,-,-,4,FB,95-97,50,55,32,32,167.0,81,1.5,26.4,7.4,92,100,2.1
RP,Caleb Thielbar,50,50,50,50,50,50,-,50,55,-,-,-,-,-,-,-,-,3,EX FB,92-94,30,60,69,0,81.2,25,1.0,27.5,5.4,163,76,2.1
RP,Richard Lovelady,45,50,60,55,50,45,-,-,45,45,-,-,-,-,-,-,-,3,NEU,92-94,30,60,68,0,75.0,22,0.6,22.6,7.7,157,81,2.1
CL,Edwin Díaz,80,55,50,55,55,80,-,-,85,-,-,-,-,-,-,-,-,2,FB,97-99,30,45,64,0,61.0,19,0.3,36.0,8.8,158,47,2.0
RP,Yennier Cano,50,65,50,50,70,50,-,-,45,55,45,-,-,-,-,-,-,4,EX GB,97-99,30,45,70,0,65.1,17,0.4,25.7,7.9,192,64,2.0
RP,Shane Baz,45,50,45,55,50,65,40,45,50,-,-,-,-,-,-,-,-,4,FB,96-98,45,55,43,16,122.0,51,0.7,24.1,9.5,117,88,2.0
SP,Freddy Peralta,55,50,45,65,45,75,55,50,65,-,-,-,-,-,-,-,-,4,EX FB,95-97,50,60,32,32,180.0,90,1.1,27.0,8.1,93,90,2.0
RP,Luis Garcia,45,55,50,40,65,-,-,-,45,50,40,-,-,-,-,-,-,3,NEU,95-97,30,40,48,0,67.1,16,0.4,17.8,6.2,228,77,2.0
RP,Robert Garcia,55,55,50,50,55,70,70,-,55,-,-,-,-,-,-,-,-,3,NEU,94-96,25,55,50,0,51.1,11,0.2,28.9,7.4,323,44,2.0
RP,Jose Suarez,50,50,45,50,50,50,50,40,45,45,-,45,-,-,-,-,-,6,FB,93-95,50,55,29,0,58.2,12,0.3,27.7,7.7,215,56,2.0
SP,Cole Ragans,55,50,45,50,50,75,60,55,55,-,-,55,-,-,-,-,-,5,EX FB,96-98,60,55,13,13,79.2,30,0.9,28.7,8.7,146,82,2.0
SP,Steven Matz,45,50,50,45,50,55,45,45,45,-,-,-,-,-,-,-,-,4,FB,94-96,45,45,43,16,117.1,49,1.1,23.0,8.6,117,93,2.0
CL,Jhoan Duran,65,70,50,50,75,80,-,75,-,80,-,-,-,-,-,-,-,3,EX GB,100+,30,50,65,0,61.0,20,0.0,31.1,8.0,168,39,2.0
CL,Carlos Estevez,50,55,55,60,55,65,45,-,50,-,-,-,-,-,-,-,-,2,FB,96-98,25,50,67,0,61.1,20,1.0,27.3,7.6,169,80,1.9
SP,Drew Rasmussen,50,60,65,55,60,65,-,-,55,50,-,-,-,-,-,-,-,3,NEU,96-98,50,50,32,32,188.1,96,1.0,22.9,5.6,91,85,1.9
SP,Steven Zobac,45,45,55,55,45,50,45,-,45,-,-,45,-,-,-,-,-,4,EX FB,94-96,55,45,19,19,110.1,49,0.9,20.6,4.0,103,87,1.9
RP,Josh Winckowski,40,50,55,50,55,45,35,-,40,40,-,40,-,-,-,-,-,5,NEU,95-97,40,45,50,9,101.0,38,0.5,20.7,8.0,127,82,1.9
SP,Garrett Crochet,65,55,50,45,60,80,55,-,70,55,-,75,-,-,-,-,-,5,NEU,97-99,50,50,33,33,178.0,90,0.9,33.4,9.1,90,70,1.9
RP,Jose A. Ferrer,45,55,50,50,55,50,35,-,40,45,-,-,-,-,-,-,-,4,GB,98-100,30,60,55,0,54.0,15,0.8,22.6,7.2,198,81,1.8
SP,Bailey Ober,50,45,65,55,45,55,60,45,55,-,-,-,-,-,-,-,-,4,EX FB,92-94,55,45,33,33,164.0,82,1.8,24.9,5.6,95,107,1.8
SP,Reese Olson,45,55,45,55,55,50,50,45,50,50,-,-,-,-,-,-,-,5,NEU,94-96,45,45,31,31,170.1,86,1.2,23.1,7.5,95,101,1.8
SP,Brandon Woodruff,55,50,50,55,45,80,60,60,65,-,-,-,-,-,-,-,-,4,NEU,96-98,55,50,27,27,158.2,79,1.2,26.2,8.2,93,97,1.8
SP,Luis Castillo,50,50,60,55,50,70,50,-,65,60,-,-,-,-,-,-,-,4,EX FB,96-98,60,50,22,22,130.1,62,1.5,28.4,6.3,101,92,1.8
RP,Tyler Ivey,55,50,40,50,50,50,60,70,50,-,-,-,-,-,-,-,-,4,NEU,91-93,45,45,31,31,158.1,79,1.1,21.0,10.3,90,108,1.8
RP,Kirby Yates,60,55,40,65,55,55,-,-,40,-,75,-,-,-,-,-,-,3,NEU,93-95,30,35,48,0,57.2,16,0.5,26.4,10.0,231,78,1.8
CL,Felix Bautista,75,55,50,65,55,75,-,70,-,80,80,-,-,-,-,-,-,4,NEU,97-99,30,60,67,0,70.2,25,0.9,35.0,6.7,141,58,1.8
RP,Osvaldo Bido,50,50,45,55,50,60,50,-,55,-,-,-,-,-,-,-,-,3,EX FB,95-97,50,45,31,25,136.2,65,0.8,21.0,9.9,97,101,1.8
RP,Luke Weaver,55,50,50,55,50,65,60,50,-,-,-,55,-,-,-,-,-,4,FB,94-96,35,65,63,0,67.1,21,0.8,26.6,6.0,148,72,1.8
RP,Ray Bunch,35,55,45,50,55,35,40,-,-,35,-,35,-,-,-,-,-,4,GB,88-90,65,45,62,17,113.0,47,1.0,14.7,11.0,111,119,1.7
SP,Jared Jones,50,50,50,55,50,75,45,50,65,-,-,-,-,-,-,-,-,4,EX FB,97-99,55,50,15,15,76.1,30,0.8,24.0,10.0,120,89,1.7
RP,Cade Smith,70,65,45,55,70,80,-,-,75,-,75,-,-,-,-,-,-,3,NEU,96-98,30,50,64,0,60.1,20,0.6,26.7,8.8,156,73,1.7
SP,Patrick Sandoval,50,55,45,45,60,50,55,45,55,50,-,-,-,-,-,-,-,5,FB,94-96,45,55,13,13,65.2,24,0.7,22.3,6.4,131,83,1.7
SP,Shane McClanahan,55,55,55,55,55,80,55,75,65,-,-,-,-,-,-,-,-,4,GB,97-99,55,65,18,18,110.2,51,1.3,27.5,5.8,111,87,1.7
SP,Mitch Keller,45,50,55,50,45,50,40,40,45,-,-,45,-,-,-,-,-,5,EX FB,94-96,60,45,33,33,168.1,86,1.0,21.9,7.0,93,92,1.7
RP,Jeremiah Estrada,80,50,45,55,50,85,-,-,80,-,70,-,-,-,-,-,-,3,FB,98-100,30,55,67,0,56.1,17,0.5,33.2,11.6,177,65,1.7
SP,Thomas Szapucki,55,50,45,55,50,75,50,75,-,-,-,-,-,-,-,-,-,3,EX FB,95-97,40,60,24,22,110.1,51,0.8,27.2,10.5,97,86,1.6
RP,Yimi Garcia,50,50,50,55,45,55,45,-,60,-,-,50,-,-,-,-,-,4,NEU,94-96,25,60,49,0,58.1,17,0.8,27.4,8.1,183,75,1.6
SP,Tanner Bibee,50,50,50,55,45,70,55,50,55,-,-,-,-,-,-,-,-,4,EX FB,95-97,50,45,33,33,177.0,92,1.3,26.2,8.5,90,100,1.6
RP,Ryan Brasier,45,50,55,55,50,50,-,-,50,45,-,40,-,-,-,-,-,4,EX FB,96-98,30,50,53,0,56.2,17,0.6,23.1,6.7,156,68,1.6
RP,Cody Poteet,45,50,50,55,50,50,45,45,45,-,-,-,-,-,-,-,-,4,FB,93-95,40,55,30,8,90.2,36,1.0,23.5,7.9,114,91,1.6
RP,Tomoyuki Sugano,40,50,70,45,50,40,-,35,35,35,-,35,35,-,-,-,-,6,FB,91-93,60,65,43,24,148.1,72,1.3,19.4,5.9,100,106,1.6
RP,Will Warren,50,50,50,50,50,50,45,-,50,50,-,40,-,-,-,-,-,5,GB,93-95,50,45,31,31,173.0,90,1.2,20.8,9.7,89,115,1.6
RP,Davis Daniel,45,50,55,50,45,45,40,40,45,-,40,-,-,-,-,-,-,5,FB,92-94,50,45,22,9,74.0,28,0.7,18.7,6.8,116,90,1.6
SP,Grayson Rodriguez,50,50,50,50,50,75,60,55,55,-,-,-,-,-,-,-,-,4,NEU,96-98,55,55,16,16,83.2,36,1.2,28.1,9.0,112,92,1.6
RP,Kevin Ginkel,50,50,50,55,50,75,-,-,65,-,-,-,-,-,-,-,-,2,FB,96-98,30,50,53,0,48.1,13,1.1,28.1,8.4,164,83,1.6
SP,Jose Berrios,45,50,55,55,50,45,40,-,45,45,-,40,-,-,-,-,-,5,NEU,94-96,65,50,28,28,176.0,92,1.2,20.5,6.4,89,104,1.5
SP,Dean Kremer,45,50,50,55,50,45,30,40,-,45,40,40,-,-,-,-,-,6,FB,94-96,55,55,22,22,118.1,57,1.2,24.2,6.1,91,93,1.5
SP,Spencer Turnbull,45,50,45,55,50,-,45,45,55,45,-,55,-,-,-,-,-,5,NEU,93-95,50,55,33,31,158.1,81,1.0,22.4,9.5,89,103,1.5
SP,Keaton Winn,45,50,50,50,50,50,-,-,45,45,45,-,-,-,-,-,-,4,NEU,96-98,45,40,25,24,130.0,64,0.8,20.9,9.1,97,92,1.5
SP,Luis Garcia,50,50,50,55,45,60,50,50,50,-,-,55,-,-,-,-,-,5,FB,94-96,55,45,10,10,58.0,21,0.5,22.9,11.0,134,81,1.5
RP,Joe Ross,45,50,45,50,45,50,40,35,45,-,-,-,-,-,-,-,-,4,EX FB,94-96,45,55,27,2,60.1,18,0.6,22.2,7.4,148,78,1.5
SP,Brady Singer,45,45,50,45,45,50,45,-,55,50,-,-,-,-,-,-,-,4,NEU,92-94,60,45,30,30,175.0,92,1.5,24.6,5.0,89,99,1.5
RP,Matt Barnes,45,50,45,50,50,45,-,55,-,-,45,-,-,-,-,-,-,3,FB,92-94,30,50,33,0,42.0,8,0.2,28.9,11.7,264,70,1.5
RP,Walker Buehler,45,50,55,50,50,50,35,40,40,40,-,45,-,-,-,-,-,6,NEU,95-97,55,50,31,31,169.2,89,1.3,19.1,5.4,86,102,1.5
SP,Davis Martin,45,45,45,50,45,50,40,40,45,-,-,45,-,-,-,-,-,5,FB,94-96,45,50,32,8,161.0,76,1.0,19.9,9.7,98,108,1.5
SP,Erick Fedde,45,50,55,50,50,-,50,-,45,55,-,55,-,-,-,-,-,4,FB,93-95,60,40,20,20,107.0,51,1.4,23.0,6.4,100,103,1.5
RP,Dennis Santana,50,55,45,55,60,60,45,-,50,-,-,50,-,-,-,-,-,4,EX FB,96-98,30,55,61,0,66.1,24,1.1,26.2,12.9,172,99,1.4
RP,Keegan Akin,55,50,60,55,50,65,45,-,65,-,-,-,-,-,-,-,-,3,FB,94-96,35,55,57,0,75.2,27,1.1,31.8,6.4,139,73,1.4
SP,Spencer Strider,70,50,55,55,50,80,60,-,80,-,-,-,-,-,-,-,-,3,FB,97-99,55,45,24,24,129.0,65,1.5,31.1,7.7,89,97,1.4
RP,Kyle Freeland,40,45,55,45,45,40,35,30,35,40,-,-,-,-,-,-,-,5,FB,92-94,50,55,43,18,126.2,60,1.3,14.6,7.0,100,120,1.4
RP,Chase Silseth,50,45,45,55,45,55,-,45,50,45,45,-,-,-,-,-,-,5,NEU,94-96,40,40,34,11,96.2,42,1.5,22.6,8.3,109,113,1.4
RP,Max Meyer,45,50,50,50,45,55,40,-,50,-,-,-,-,-,-,-,-,3,NEU,96-98,45,50,33,31,151.2,79,1.4,23.0,9.0,93,110,1.3
SP,Ryan Feltner,45,50,50,50,45,50,40,40,45,45,-,-,-,-,-,-,-,5,NEU,95-97,60,50,33,33,187.0,101,1.5,21.0,8.2,87,116,1.3
RP,Kyle Nicolas,50,55,40,50,55,75,-,55,55,-,-,-,-,-,-,-,-,3,NEU,97-99,40,45,36,0,61.0,19,0.9,21.0,11.7,141,105,1.3
RP,Frankie Montas,45,45,45,55,45,55,-,-,45,45,45,45,-,-,-,-,-,5,FB,96-98,45,55,20,13,81.2,36,1.7,24.4,8.4,100,116,1.3
RP,Tyler Holton,45,60,65,65,55,45,45,35,45,45,-,45,-,-,-,-,-,6,NEU,92-94,35,55,38,0,42.1,13,0.4,18.8,6.5,207,71,1.3
